"id","set","category","relative_file","source_rect","grid","visible_pixels","has_hot_pink"
"cell_r00_c00_x0_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c00_x0_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r00_c01_x16_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c01_x16_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","92","False"
"cell_r00_c02_x32_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c02_x32_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r00_c03_x48_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c03_x48_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","88","False"
"cell_r00_c04_x64_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c04_x64_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","35","False"
"cell_r00_c05_x80_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c05_x80_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c06_x96_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c06_x96_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","33","False"
"cell_r00_c07_x112_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c07_x112_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","91","False"
"cell_r00_c08_x128_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c08_x128_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","169","False"
"cell_r00_c09_x144_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c09_x144_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","1","False"
"cell_r00_c10_x160_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c10_x160_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","4","False"
"cell_r00_c11_x176_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c11_x176_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","2","False"
"cell_r00_c12_x192_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c12_x192_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c13_x208_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c13_x208_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
"cell_r00_c14_x224_y0","by_cell","architecture_tiles","by_cell/architecture_tiles/cell_r00_c14_x224_y0.png","System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary","256","False"
